date,hourx,crypto,Open,High,Low,Close,Volume
2025-08-23,0,BTC-USD,116920.8671875,116995.2421875,116721.28125,116837.5234375,0
2025-08-23,1,BTC-USD,116828.0234375,116828.0234375,116285.21875,116402.8515625,0
2025-08-23,2,BTC-USD,116391.1875,116460.8203125,115572.25,115936.1640625,1177559040
2025-08-23,3,BTC-USD,115942.640625,115966.515625,115439.2890625,115515.0859375,539926528
2025-08-23,4,BTC-USD,115513.8984375,115891.8828125,115513.8984375,115869.9921875,70762496
2025-08-23,5,BTC-USD,115861.8203125,115972.3828125,115757.1484375,115927.1484375,391405568
2025-08-23,6,BTC-USD,115913.5234375,115951.671875,115660.75,115711.03125,0
2025-08-23,7,BTC-USD,115691.3515625,115844.9609375,115638.7421875,115735.765625,0
2025-08-23,8,BTC-USD,115765.34375,115816.578125,115608.53125,115702.2421875,0
2025-08-23,9,BTC-USD,115707.546875,115729.328125,115567.6015625,115704.84375,0
2025-08-23,10,BTC-USD,115709.2734375,115709.2734375,115537.765625,115537.765625,0
2025-08-23,11,BTC-USD,115512.8046875,115583.359375,115192.3046875,115192.3046875,0
2025-08-23,12,BTC-USD,115209.71875,115417.75,115161.328125,115180.78125,0
2025-08-23,13,BTC-USD,115161.734375,115161.734375,114731.859375,114839.1640625,0
2025-08-23,14,BTC-USD,114808.7265625,115031.5859375,114608.515625,114608.515625,0
2025-08-23,15,BTC-USD,114596.171875,114896.5859375,114596.171875,114805.515625,0
2025-08-23,16,BTC-USD,114786.4296875,115020.6875,114680.375,114971.4609375,0
2025-08-23,17,BTC-USD,114985.1484375,115094.5703125,114938.7734375,115051.421875,0
2025-08-23,18,BTC-USD,115068.8359375,115130.609375,115008.6953125,115098.2265625,0
2025-08-23,19,BTC-USD,115105.78125,115111.0078125,115004.40625,115092.0390625,0
2025-08-23,20,BTC-USD,115083.1484375,115287.625,115060.4765625,115287.625,0
2025-08-23,21,BTC-USD,115274.1015625,115274.1015625,114987.0,115067.3515625,0
2025-08-23,22,BTC-USD,115019.890625,115264.8671875,115019.890625,115264.8671875,0
2025-08-23,23,BTC-USD,115272.3203125,115378.8515625,115197.640625,115378.8515625,0
2025-08-24,0,BTC-USD,115341.6015625,115477.46875,115288.7734375,115326.2265625,0
2025-08-24,1,BTC-USD,115303.703125,115501.6171875,115150.46875,115425.359375,297271296
2025-08-24,2,BTC-USD,115410.8671875,115574.6875,115016.7578125,115016.7578125,0
2025-08-24,3,BTC-USD,115010.4453125,115094.3359375,114927.15625,114992.4921875,0
2025-08-24,4,BTC-USD,114992.4296875,115222.7265625,114992.4296875,115051.9609375,0
2025-08-24,5,BTC-USD,115092.5703125,115150.2734375,114887.3515625,114962.171875,471986176
2025-08-24,6,BTC-USD,114951.46875,115015.2265625,114817.7109375,114826.4765625,0
2025-08-24,7,BTC-USD,114851.421875,115066.1640625,114833.015625,114883.2890625,0
2025-08-24,8,BTC-USD,114878.625,114912.2265625,114714.59375,114767.2890625,0
2025-08-24,9,BTC-USD,114792.1484375,114977.53125,114655.2734375,114800.9296875,173441024
2025-08-24,10,BTC-USD,114820.140625,114912.9453125,114581.65625,114794.0859375,1078009856
2025-08-24,11,BTC-USD,114765.578125,114852.0234375,114594.328125,114711.46875,0
2025-08-24,12,BTC-USD,114716.8984375,114769.359375,114590.96875,114646.7890625,287670272
2025-08-24,13,BTC-USD,114649.8984375,114789.8203125,114561.0859375,114561.0859375,0
2025-08-24,14,BTC-USD,114538.1328125,114573.9921875,114357.6171875,114545.8515625,0
2025-08-24,15,BTC-USD,114526.65625,114781.2734375,114396.75,114398.2578125,23498752
2025-08-24,16,BTC-USD,114387.1640625,114470.15625,114282.5,114282.5,2456383488
2025-08-24,17,BTC-USD,114234.453125,114496.5390625,114234.453125,114323.34375,0
2025-08-24,18,BTC-USD,114338.8828125,114843.671875,114283.4609375,114522.609375,1902788608
2025-08-24,19,BTC-USD,114600.421875,114680.59375,111409.109375,112449.1484375,6329581568
2025-08-24,20,BTC-USD,112441.1015625,112974.921875,111874.1875,112636.9609375,6395842560
2025-08-24,21,BTC-USD,112712.71875,113286.96875,112439.6796875,112978.4296875,4273319936
2025-08-24,22,BTC-USD,112976.2734375,113447.484375,112656.4140625,113421.484375,523165696
2025-08-24,23,BTC-USD,113438.5859375,113635.75,113387.09375,113420.0703125,2078236672
