date,hourx,crypto,Open,High,Low,Close,Volume
2025-08-23,0,XRP-USD,3.0755648612976074,3.0755648612976074,3.042649269104004,3.042649269104004,0
2025-08-23,1,XRP-USD,3.0424575805664062,3.0424575805664062,3.0105884075164795,3.0228469371795654,170431488
2025-08-23,2,XRP-USD,3.02231502532959,3.026031970977783,2.973397731781006,2.997370481491089,216786944
2025-08-23,3,XRP-USD,2.997378349304199,3.001763105392456,2.9861583709716797,2.9932987689971924,0
2025-08-23,4,XRP-USD,2.993285894393921,3.0295486450195312,2.992466926574707,3.0292680263519287,57797632
2025-08-23,5,XRP-USD,3.0298330783843994,3.052157402038574,3.0265109539031982,3.0512194633483887,109409280
2025-08-23,6,XRP-USD,3.0510847568511963,3.0593693256378174,3.0500736236572266,3.0593693256378174,4755456
2025-08-23,7,XRP-USD,3.0594687461853027,3.066866636276245,3.051799774169922,3.0598607063293457,0
2025-08-23,8,XRP-USD,3.0597236156463623,3.065901279449463,3.046722650527954,3.049818277359009,185009152
2025-08-23,9,XRP-USD,3.0500571727752686,3.0504791736602783,3.041282892227173,3.0447099208831787,0
2025-08-23,10,XRP-USD,3.0452611446380615,3.0455734729766846,3.0305957794189453,3.0312132835388184,113326080
2025-08-23,11,XRP-USD,3.0311801433563232,3.045670747756958,3.029731512069702,3.040266513824463,0
2025-08-23,12,XRP-USD,3.0404860973358154,3.0418927669525146,3.0319628715515137,3.0322048664093018,0
2025-08-23,13,XRP-USD,3.031818151473999,3.031818151473999,3.0122835636138916,3.013948917388916,0
2025-08-23,14,XRP-USD,3.014021873474121,3.0269010066986084,3.0102572441101074,3.011793851852417,0
2025-08-23,15,XRP-USD,3.012117862701416,3.020195484161377,3.012117862701416,3.019477128982544,0
2025-08-23,16,XRP-USD,3.0194618701934814,3.0200438499450684,3.0114150047302246,3.0186607837677,0
2025-08-23,17,XRP-USD,3.0185275077819824,3.0228612422943115,3.016646146774292,3.0181305408477783,0
2025-08-23,18,XRP-USD,3.018080234527588,3.020244836807251,3.0157346725463867,3.020137310028076,0
2025-08-23,19,XRP-USD,3.020199775695801,3.029074192047119,3.020199775695801,3.029074192047119,0
2025-08-23,20,XRP-USD,3.0291523933410645,3.031693935394287,3.0262699127197266,3.031693935394287,0
2025-08-23,21,XRP-USD,3.0314385890960693,3.0316922664642334,3.027144432067871,3.0308191776275635,0
2025-08-23,22,XRP-USD,3.031463146209717,3.0439486503601074,3.0312719345092773,3.0439486503601074,0
2025-08-23,23,XRP-USD,3.0440590381622314,3.0532875061035156,3.0440590381622314,3.0461604595184326,0
2025-08-24,0,XRP-USD,3.0474417209625244,3.0589187145233154,3.0474417209625244,3.0563409328460693,0
2025-08-24,1,XRP-USD,3.056340217590332,3.07674503326416,3.049516201019287,3.0757269859313965,0
2025-08-24,2,XRP-USD,3.075360059738159,3.0758650302886963,3.0591228008270264,3.0591228008270264,0
2025-08-24,3,XRP-USD,3.059171199798584,3.059171199798584,3.045769214630127,3.0528104305267334,0
2025-08-24,4,XRP-USD,3.0526785850524902,3.0542056560516357,3.0435068607330322,3.0467472076416016,0
2025-08-24,5,XRP-USD,3.0471177101135254,3.050842761993408,3.044583320617676,3.0459275245666504,0
2025-08-24,6,XRP-USD,3.045947790145874,3.0474796295166016,3.0305521488189697,3.0326688289642334,0
2025-08-24,7,XRP-USD,3.032599449157715,3.0437073707580566,3.0311508178710938,3.038266181945801,0
2025-08-24,8,XRP-USD,3.03814959526062,3.0436813831329346,3.0312654972076416,3.038158416748047,0
2025-08-24,9,XRP-USD,3.0381460189819336,3.039416790008545,3.025156021118164,3.0253894329071045,0
2025-08-24,10,XRP-USD,3.0253043174743652,3.0253043174743652,3.00620174407959,3.015725612640381,52473344
2025-08-24,11,XRP-USD,3.0152857303619385,3.0152857303619385,2.9990663528442383,3.0081305503845215,38636544
2025-08-24,12,XRP-USD,3.008126735687256,3.0147950649261475,3.0067873001098633,3.0144052505493164,0
2025-08-24,13,XRP-USD,3.0145840644836426,3.021468162536621,3.0138258934020996,3.020601511001587,0
2025-08-24,14,XRP-USD,3.0205342769622803,3.022284507751465,3.011974573135376,3.0197269916534424,0
2025-08-24,15,XRP-USD,3.0209686756134033,3.038102388381958,3.014972686767578,3.014972686767578,126841344
2025-08-24,16,XRP-USD,3.0148229598999023,3.0295379161834717,3.014106035232544,3.029465913772583,24309760
2025-08-24,17,XRP-USD,3.029545783996582,3.059199810028076,3.0293869972229004,3.054213285446167,132099328
2025-08-24,18,XRP-USD,3.050567388534546,3.1100926399230957,3.047161102294922,3.107600212097168,450456832
2025-08-24,19,XRP-USD,3.1080195903778076,3.1235008239746094,3.0219013690948486,3.022374391555786,1152904704
2025-08-24,20,XRP-USD,3.025042772293091,3.0355141162872314,3.009791374206543,3.0304341316223145,625488384
2025-08-24,21,XRP-USD,3.0309836864471436,3.0425007343292236,3.0141098499298096,3.0337142944335938,211008000
2025-08-24,22,XRP-USD,3.0335445404052734,3.0339550971984863,3.0069544315338135,3.0339083671569824,152174592
2025-08-24,23,XRP-USD,3.03364896774292,3.0372250080108643,3.025556802749634,3.025556802749634,79728128
