date,hourx,crypto,Open,High,Low,Close,Volume
2025-08-23,0,ETH-USD,4828.6962890625,4828.6962890625,4803.42138671875,4806.53662109375,0
2025-08-23,1,ETH-USD,4805.50830078125,4813.37548828125,4757.49853515625,4778.66357421875,0
2025-08-23,2,ETH-USD,4777.5390625,4786.42138671875,4671.15673828125,4713.8701171875,3278217216
2025-08-23,3,ETH-USD,4713.91162109375,4719.02490234375,4675.212890625,4694.1796875,1023762432
2025-08-23,4,ETH-USD,4692.3447265625,4740.78076171875,4692.3447265625,4739.630859375,0
2025-08-23,5,ETH-USD,4744.4111328125,4759.39111328125,4726.56591796875,4747.77734375,1095983104
2025-08-23,6,ETH-USD,4749.00341796875,4758.18017578125,4734.3173828125,4747.2314453125,1063280640
2025-08-23,7,ETH-USD,4744.35595703125,4745.16943359375,4710.7451171875,4712.6552734375,0
2025-08-23,8,ETH-USD,4711.23291015625,4724.56640625,4700.5517578125,4718.04931640625,721747968
2025-08-23,9,ETH-USD,4717.37939453125,4738.5634765625,4709.25244140625,4735.26025390625,0
2025-08-23,10,ETH-USD,4736.51123046875,4741.6044921875,4711.74169921875,4711.74169921875,0
2025-08-23,11,ETH-USD,4710.32373046875,4726.685546875,4701.0517578125,4701.0517578125,0
2025-08-23,12,ETH-USD,4700.15478515625,4731.3310546875,4692.451171875,4711.7177734375,689790976
2025-08-23,13,ETH-USD,4712.01220703125,4728.9287109375,4710.0400390625,4716.478515625,0
2025-08-23,14,ETH-USD,4715.50244140625,4753.40087890625,4714.8623046875,4722.896484375,0
2025-08-23,15,ETH-USD,4728.44482421875,4763.4912109375,4724.939453125,4754.615234375,0
2025-08-23,16,ETH-USD,4750.529296875,4758.04443359375,4742.98974609375,4742.98974609375,0
2025-08-23,17,ETH-USD,4741.27392578125,4749.51904296875,4729.62548828125,4747.994140625,0
2025-08-23,18,ETH-USD,4748.2568359375,4754.1162109375,4742.79833984375,4751.31103515625,0
2025-08-23,19,ETH-USD,4751.16650390625,4757.90625,4747.76123046875,4757.64697265625,0
2025-08-23,20,ETH-USD,4757.06298828125,4757.0810546875,4743.0185546875,4752.94140625,0
2025-08-23,21,ETH-USD,4751.5234375,4751.5234375,4737.86376953125,4747.6220703125,0
2025-08-23,22,ETH-USD,4750.40234375,4768.3525390625,4750.40234375,4767.65576171875,0
2025-08-23,23,ETH-USD,4780.59912109375,4794.3486328125,4770.8115234375,4774.64306640625,0
2025-08-24,0,ETH-USD,4778.88330078125,4812.802734375,4777.83984375,4798.0068359375,0
2025-08-24,1,ETH-USD,4797.38916015625,4797.38916015625,4762.798828125,4772.71435546875,105259008
2025-08-24,2,ETH-USD,4774.181640625,4786.62158203125,4773.47705078125,4774.18896484375,0
2025-08-24,3,ETH-USD,4773.52880859375,4793.9853515625,4754.89501953125,4789.91259765625,0
2025-08-24,4,ETH-USD,4787.87890625,4797.05224609375,4777.412109375,4787.91943359375,0
2025-08-24,5,ETH-USD,4791.5986328125,4791.6162109375,4780.5361328125,4780.94677734375,0
2025-08-24,6,ETH-USD,4780.7607421875,4785.275390625,4757.724609375,4757.724609375,0
2025-08-24,7,ETH-USD,4758.67333984375,4780.267578125,4758.67333984375,4760.23828125,0
2025-08-24,8,ETH-USD,4759.33935546875,4776.83544921875,4747.08447265625,4775.677734375,0
2025-08-24,9,ETH-USD,4775.1259765625,4783.34814453125,4762.236328125,4773.0029296875,0
2025-08-24,10,ETH-USD,4771.89453125,4772.87744140625,4735.2333984375,4743.97998046875,0
2025-08-24,11,ETH-USD,4740.13037109375,4748.86572265625,4722.65869140625,4746.626953125,1078269952
2025-08-24,12,ETH-USD,4746.8974609375,4755.8193359375,4740.666015625,4754.1416015625,563458048
2025-08-24,13,ETH-USD,4753.95166015625,4777.33447265625,4753.95166015625,4768.15576171875,41928704
2025-08-24,14,ETH-USD,4769.2412109375,4797.279296875,4760.11962890625,4795.2685546875,0
2025-08-24,15,ETH-USD,4790.66015625,4826.3798828125,4790.66015625,4796.828125,1355874304
2025-08-24,16,ETH-USD,4797.232421875,4832.77783203125,4795.83447265625,4828.43798828125,1775392768
2025-08-24,17,ETH-USD,4824.4453125,4927.11376953125,4824.4453125,4900.27197265625,1288323072
2025-08-24,18,ETH-USD,4902.2099609375,4949.1162109375,4901.61328125,4934.7294921875,3845138432
2025-08-24,19,ETH-USD,4934.97265625,4953.02490234375,4773.74267578125,4801.40283203125,6612840448
2025-08-24,20,ETH-USD,4798.7333984375,4810.2958984375,4730.06494140625,4789.80712890625,4814876672
2025-08-24,21,ETH-USD,4787.15576171875,4820.19482421875,4755.25537109375,4782.84765625,2701029376
2025-08-24,22,ETH-USD,4785.32080078125,4785.32080078125,4732.6494140625,4778.240234375,1036398592
2025-08-24,23,ETH-USD,4778.7470703125,4802.51171875,4776.26025390625,4777.162109375,1227366400
